House area,Storeys,Yard Area,Water supply,Electricity,House Material,House Condition,Number of Bedrooms,Land Category,Ground Status,Bathroom,Sewerage,Heating,Gas,Cellar,Terrace,Garage,Bath,Security,Swimming pool,Year Built,Class,Price
350.0,2.0,25.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,Not specified,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,32500000.0
230.0,,7.0,Yes,Yes,Monolithic,Not specified,3.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,0.0,,Other,38000000.0
170.0,2.0,100.0,No,Yes,Monolithic,Not specified,,Not specified,Not specified,Not specified,Yes,Central gas,Yes,0.0,0.0,1.0,0.0,1.0,1.0,,Other,19000000.0
370.0,2.0,16.0,Central,Yes,Monolithic,Can live,7.0,Not specified,Individual housing construction,1 at home,Central,Central gas,No,0.0,0.0,0.0,1.0,0.0,0.0,2019.0,Other,23000000.0
280.0,2.0,6.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,44000000.0
320.0,2.0,12.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,0.0,1.0,,Other,19000000.0
200.0,2.0,5.0,Yes,Yes,Monolithic,Not specified,,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,0.0,,Other,19500000.0
330.0,2.0,14.0,Central,Yes,Other,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,0.0,1.0,,Other,24500000.0
260.0,2.0,5.24,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,38000000.0
250.0,2.0,12.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,16700000.0
270.0,2.0,10.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,20000000.0
200.0,2.0,5.0,Central,Yes,Monolithic,Needs repairs,5.0,Lands of populated areas,Individual housing construction,2 at home,Septic,Central gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,1.0,1.0,,Other,31000000.0
320.0,3.0,12.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2015.0,Other,27000000.0
460.0,3.0,7.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,175000000.0
524.0,3.0,30.0,Central,Yes,Monolithic,Can live,,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,80000000.0
370.0,2.0,10.0,Central,Yes,Monolithic,Can live,6.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2018.0,Other,12500000.0
280.0,2.0,12.0,Well,Yes,Gas concrete block,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Septic,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,33600000.0
240.0,2.0,12.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,36000000.0
220.0,2.0,11.0,Central,Yes,Gas concrete block,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,17000000.0
148.8,3.0,5.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,16500000.0
233.0,2.0,13.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,36000000.0
65.0,2.0,7.0,No,Yes,Brick,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,13500000.0
400.0,,6.0,No,Yes,Other,Not specified,,Not specified,Individual housing construction,Not specified,No,No,Magistralny along the border,0.0,0.0,0.0,0.0,0.0,0.0,,Other,32000000.0
270.0,2.0,6.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2018.0,Other,23000000.0
330.0,2.0,11.0,Central,Yes,Monolithic,Not specified,5.0,Other,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Other,33000000.0
300.0,2.0,13.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Other,32000000.0
260.0,3.0,10.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,34900000.0
175.0,2.0,4.0,Central,Yes,Monolithic,Needs to be completed,3.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,1.0,0.0,2024.0,Other,42000000.0
362.0,2.0,6.0,No,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,20000000.0
319.0,2.0,10.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2023.0,Other,31000000.0
265.0,2.0,7.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,25000000.0
220.0,2.0,6.0,Central,Yes,Monolithic,Not specified,,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,25000000.0
450.0,3.0,9.0,Central,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,0.0,1.0,,Other,44000000.0
280.0,3.0,5.5,Central,Yes,Monolithic,Needs repairs,4.0,Lands of populated areas,Individual housing construction,1 in yard,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Other,24000000.0
144.0,2.0,4.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,23500000.0
280.0,2.0,5.0,Central,Yes,Wood,Can live,5.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Other,14000000.0
230.0,2.0,6.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,23000000.0
220.0,,23.0,Central,Yes,Monolithic,Can live,,Other,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,39900000.0
260.0,3.0,4.0,Central,Yes,Other,Needs repairs,4.0,Lands of populated areas,Gardening,3 at home,Central,Autonomous gas,Magistralny along the border,0.0,0.0,0.0,0.0,0.0,1.0,2019.0,Other,41500000.0
220.0,2.0,8.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,20000000.0
185.0,3.0,2.74,Central,Yes,Monolithic,Not specified,4.0,Not specified,Gardening,In the house,Septic,Central gas,Magistralny along the border,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,Other,20000000.0
480.0,2.0,18.0,Central,Yes,Monolithic,Can live,6.0,Lands of populated areas,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,31000000.0
250.0,2.0,6.0,Central,Yes,Frame,Needs repairs,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,0.0,1.0,1.0,1.0,,Other,29600000.0
240.0,2.0,8.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,0.0,1.0,,Other,28000000.0
390.0,2.0,11.0,Yes,Yes,Monolithic,Not specified,3.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,32000000.0
250.0,3.0,6.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,29500000.0
365.0,3.0,5.0,Central,Yes,Monolithic,Needs to be completed,6.0,Not specified,Gardening,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,0.0,1.0,0.0,1.0,2020.0,Other,62500000.0
430.0,3.0,11.0,Central,Yes,Monolithic,Not specified,,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2019.0,Other,24000000.0
58.0,1.0,10.0,Central,Yes,Gas concrete block,Needs repairs,2.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,0.0,1.0,1.0,2023.0,Other,8100000.0
180.0,2.0,6.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,0.0,2023.0,Other,18000000.0
200.0,3.0,4.0,Central,Yes,Monolithic,Needs repairs,4.0,Lands of populated areas,Individual housing construction,2 in yard,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,0.0,1.0,0.0,,Other,21000000.0
290.0,3.0,5.55,Central,Yes,Monolithic,Not specified,5.0,Not specified,Gardening,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,30000000.0
250.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,31000000.0
300.0,3.0,5.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,0.0,0.0,1.0,1.0,2020.0,Other,27500000.0
260.0,2.0,10.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,0.0,1.0,1.0,,Other,32000000.0
90.0,2.0,2.5,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,21000000.0
60.0,1.0,5.0,Central,Yes,Wood,Can live,3.0,Lands of populated areas,Individual housing construction,1 at home,Septic,Electric,No,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,Other,7500000.0
500.0,2.0,15.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,35000000.0
200.0,2.0,8.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,Not specified,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,27000000.0
220.0,2.0,6.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,0.0,1.0,,Other,29000000.0
287.0,2.0,8.0,No,Yes,Other,Not specified,4.0,Not specified,Individual housing construction,Not specified,No,No,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,0.0,,Other,12000000.0
550.0,3.0,6.9,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,302500000.0
550.0,3.0,15.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,34000000.0
650.0,3.0,25.0,Central,Yes,Monolithic,Can live,6.0,Lands of populated areas,Individual housing construction,1 in yard,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Other,40000000.0
195.0,2.0,5.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,36000000.0
230.0,2.0,6.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Magistralny along the border,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,21500000.0
450.0,2.0,4.0,Central,Yes,Brick,Not specified,7.0,Not specified,Individual housing construction,In the house,Central,Autonomous gas,Gasholder,0.0,0.0,1.0,1.0,0.0,1.0,2016.0,Other,40000000.0
550.0,3.0,7.0,Central,Yes,Monolithic,Can live,,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2023.0,Other,35000000.0
450.0,3.0,7.32,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Elite,70000000.0
600.0,2.0,20.0,Central,Yes,Monolithic,Can live,6.0,Not specified,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,41000000.0
350.0,2.0,10.0,Central,Yes,Monolithic,Not specified,3.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,34000000.0
250.0,3.0,5.3,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,137500000.0
360.0,3.0,9.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,37000000.0
125.0,2.0,8.0,Yes,Yes,Other,Not specified,3.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,0.0,0.0,2021.0,Other,30000000.0
312.0,3.0,5.0,Central,Yes,Brick,Can live,5.0,Lands of populated areas,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,0.0,0.0,1.0,1.0,,Other,35000000.0
260.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,39000000.0
212.0,3.0,6.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,20000000.0
300.0,2.0,12.0,Central,Yes,Monolithic,Not specified,,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2021.0,Other,27000000.0
210.0,2.0,6.0,Yes,Yes,Monolithic,Not specified,3.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,19950000.0
270.9,2.0,4.6,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,2 at home,Septic,Electric,Magistralny along the border,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,Other,20000000.0
430.0,3.0,7.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,56000000.0
155.0,2.0,3.5,Central,Yes,Monolithic,Needs repairs,4.0,Lands of populated areas,Individual housing construction,3 at home,Septic,Central gas,Mainline in the house or on the plot,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,Other,33000000.0
305.0,2.0,8.0,Central,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,35000000.0
134.0,2.0,7.0,No,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,19200000.0
125.0,2.0,3.0,Central,Yes,Monolithic,Needs repairs,4.0,Lands of populated areas,Individual housing construction,2 at home,Septic,Electric,Magistralny along the border,0.0,0.0,0.0,0.0,1.0,0.0,2018.0,Other,19800000.0
396.0,2.0,6.5,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,42000000.0
40.0,2.0,2.0,Central,Yes,Monolithic,Not specified,2.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,0.0,,Other,7500000.0
245.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,22000000.0
360.0,3.0,12.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,54000000.0
800.0,2.0,10.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,0.0,1.0,,Other,42000000.0
150.0,2.0,5.0,Yes,Yes,Monolithic,Not specified,,Not specified,Not specified,In the house,Yes,Central gas,Yes,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,Other,32000000.0
220.0,2.0,6.0,Central,Yes,Monolithic,Needs repairs,3.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,0.0,1.0,1.0,1.0,,Other,23000000.0
320.0,2.0,9.0,Central,Yes,Brick,Can live,6.0,Lands of populated areas,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,43000000.0
127.0,2.0,2.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,25000000.0
270.0,2.0,10.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Yes,0.0,0.0,1.0,1.0,1.0,1.0,,Other,29500000.0
472.8,3.0,6.27,No,No,Other,Not specified,4.0,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,320000000.0
350.0,2.0,15.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,40000000.0
154.0,2.0,3.5,Central,Yes,Monolithic,Needs repairs,4.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,0.0,2023.0,Other,29000000.0
850.0,2.0,15.0,Central,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,4 at home,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2019.0,Other,41000000.0
300.0,2.0,7.0,Central,Yes,Gas concrete block,Needs repairs,5.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,25000000.0
466.9,3.0,6.27,No,No,Other,Not specified,4.0,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,350000000.0
230.0,2.0,9.0,Central,Yes,Gas concrete block,Not specified,4.0,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,1.0,,Other,32000000.0
70.0,1.0,1.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Business,12600000.0
260.0,2.0,12.0,Central,Yes,Monolithic,Can live,,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,17000000.0
360.0,2.0,6.5,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Elite,85000000.0
320.0,2.0,10.0,Central,Yes,Monolithic,Can live,5.0,Other,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,27000000.0
300.0,3.0,7.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,35000000.0
165.4,3.0,6.65,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,31500000.0
300.0,3.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Other,25500000.0
45.0,,5.7,Central,Yes,Other,Not specified,,Lands of populated areas,Gardening,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,8500000.0
400.0,3.0,6.0,Central,No,Monolithic,Can live,,Other,Individual housing construction,Not specified,Central,No,No,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,Other,17000000.0
180.0,1.0,7.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,35000000.0
380.0,2.0,12.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,0.0,1.0,,Other,27000000.0
180.0,2.0,4.0,Central,Yes,Monolithic,Needs repairs,,Lands of populated areas,Individual housing construction,1 at home,Septic,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,0.0,,Other,28000000.0
180.0,2.0,3.0,Yes,Yes,Other,Not specified,3.0,Not specified,Gardening,In the house,Yes,Electric,Gasholder,0.0,0.0,0.0,0.0,0.0,0.0,,Other,25000000.0
265.0,3.0,7.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,No,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,1.0,,Other,24000000.0
220.0,,10.0,Yes,Yes,Other,Not specified,,Not specified,Individual housing construction,In the house,Yes,No,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,20000000.0
262.0,3.0,5.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,0.0,,Other,16000000.0
135.0,2.0,7.0,Central,Yes,Monolithic,Not specified,3.0,Not specified,Individual housing construction,2 at home,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,0.0,2020.0,Other,18000000.0
300.0,3.0,5.0,Central,Yes,Monolithic,Can live,4.0,Other,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,35500000.0
350.0,2.0,7.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,90000000.0
650.0,3.0,20.0,Central,Yes,Monolithic,Can live,6.0,Lands of populated areas,Individual housing construction,6 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,27000000.0
190.0,2.0,8.7,Yes,Yes,Other,Not specified,3.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,29000000.0
350.0,2.0,10.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,32000000.0
320.0,2.0,12.0,Central,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,26000000.0
213.0,4.0,7.0,Central,Yes,Monolithic,Needs repairs,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,0.0,0.0,0.0,2023.0,Other,23000000.0
250.0,2.0,7.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,42000000.0
230.0,2.0,18.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,32000000.0
100.0,2.0,3.0,Central,Yes,Wood,Can live,2.0,Not specified,Individual housing construction,In the house,Septic,Electric,No,0.0,1.0,0.0,0.0,0.0,0.0,2015.0,Other,19000000.0
315.0,2.0,22.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2016.0,Other,34250000.0
217.2,3.0,5.08,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,35000000.0
300.0,2.0,7.0,Central,Yes,Monolithic,Needs repairs,5.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,27000000.0
210.0,2.0,35.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,3 at home,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,28000000.0
